stop_id,direction_name
D41S,"Coney Island - Stillwell Av"
D41N,"Manhattan"
D42S,"Coney Island - Stillwell Av"
D42N,"Manhattan"
D43S,"Coney Island - Stillwell Av"
D43N,"Manhattan"
E01S,"World Trade Center"
E01N,"Uptown and Queens"
F01S,"Manhattan"
F01N,"Jamaica - 179 St"
F02S,"Manhattan"
F02N,"Jamaica - 179 St"
F03S,"Manhattan"
F03N,"Jamaica - 179 St"
F04S,"Manhattan"
F04N,"Jamaica - 179 St"
F05S,"Manhattan"
F05N,"Jamaica"
F06S,"Manhattan"
F06N,"Jamaica"
F07S,"Manhattan"
F07N,"Jamaica"
F09S,"Manhattan"
F09N,"Forest Hills and Jamaica"
F11S,"Downtown and Brooklyn"
F11N,"Queens"
F12S,"Downtown and Brooklyn"
F12N,"Queens"
F14S,"Downtown and Brooklyn"
F14N,"Uptown and Queens"
F15S,"Downtown and Brooklyn"
F15N,"Uptown and Queens"
F16S,"Brooklyn"
F16N,"Uptown and Queens"
F18S,"Coney Island - Stillwell Av"
F18N,"Manhattan"
F20S,"Church Av and Coney Island"
F20N,"Manhattan and Queens"
F21S,"Church Av and Coney Island"
F21N,"Manhattan and Queens"
F22S,"Church Av and Coney Island"
F22N,"Manhattan and Queens"
F23S,"Church Av and Coney Island"
F23N,"Manhattan and Queens"
F24S,"Church Av and Coney Island"
F24N,"Manhattan and Queens"
F25S,"Church Av and Coney Island"
F25N,"Manhattan and Queens"
F26S,"Church Av and Coney Island"
F26N,"Manhattan and Queens"
F27S,"Church Av and Coney Island"
F27N,"Manhattan and Queens"
F29S,"Coney Island - Stillwell Av"
F29N,"Manhattan"
F30S,"Coney Island - Stillwell Av"
F30N,"Manhattan"
F31S,"Coney Island - Stillwell Av"
F31N,"Manhattan"
F32S,"Coney Island - Stillwell Av"
F32N,"Manhattan"
F33S,"Coney Island - Stillwell Av"
F33N,"Manhattan"
F34S,"Coney Island - Stillwell Av"
F34N,"Manhattan"
F35S,"Coney Island - Stillwell Av"
F35N,"Manhattan"
F36S,"Coney Island - Stillwell Av"
F36N,"Manhattan"
F38S,"Coney Island - Stillwell Av"
F38N,"Manhattan"
F39S,"Coney Island - Stillwell Av"
F39N,"Manhattan"
G05S,"Manhattan"
G05N,"Jamaica Center"
G06S,"Manhattan"
G06N,"Jamaica Center"
G07S,"Manhattan"
G07N,"Jamaica Center"
G08S,"Manhattan"
G08N,"Forest Hills and Jamaica"
G09S,"Manhattan"
G09N,"Forest Hills and Jamaica"
G10S,"Manhattan"
G10N,"Forest Hills and Jamaica"
G11S,"Manhattan"
G11N,"Forest Hills and Jamaica"
G12S,"Manhattan"
G12N,"Forest Hills and Jamaica"
G13S,"Manhattan"
G13N,"Forest Hills and Jamaica"
G14S,"Manhattan"
G14N,"Forest Hills and Jamaica"
G15S,"Manhattan"
G15N,"Forest Hills and Jamaica"
G16S,"Manhattan"
G16N,"Forest Hills and Jamaica"
G18S,"Manhattan"
G18N,"Forest Hills and Jamaica"
G19S,"Manhattan"
G19N,"Forest Hills and Jamaica"
G20S,"Manhattan"
G20N,"Forest Hills and Jamaica"
G21S,"Manhattan"
G21N,"Forest Hills and Jamaica"
G22S,"Brooklyn"
G22N,"Court Sq - 21 St"
G24S,"Brooklyn"
G24N,"Court Sq - 21 St"
G26S,"Church Av"
G26N,"Queens"
G28S,"Church Av"
G28N,"Queens"
G29S,"Church Av"
G29N,"Queens"
G30S,"Church Av"
G30N,"Queens"
G31S,"Church Av"
G31N,"Queens"
G32S,"Church Av"
G32N,"Queens"
G33S,"Church Av"
G33N,"Queens"
G34S,"Church Av"
G34N,"Queens"
G35S,"Church Av"
G35N,"Queens"
G36S,"Church Av"
G36N,"Queens"
H01S,"The Rockaways"
H01N,"Manhattan"
H02S,"The Rockaways"
H02N,"Manhattan"
H03S,"The Rockaways"
H03N,"Manhattan"
H04S,"The Rockaways"
H04N,"Manhattan"
H06S,"Far Rockaway"
H06N,"Manhattan"
H07S,"Far Rockaway"
H07N,"Manhattan"
H08S,"Far Rockaway"
H08N,"Manhattan"
H09S,"Far Rockaway"
H09N,"Manhattan"
H10S,"Far Rockaway"
H10N,"Manhattan"
H11S,"Far Rockaway"
H11N,"Manhattan"
H12S,"Rockaway Park - Beach 116 St"
H12N,"Manhattan"
H13S,"Rockaway Park - Beach 116 St"
H13N,"Manhattan"
H14S,"Rockaway Park - Beach 116 St"
H14N,"Manhattan"
H15S,"Rockaway Park - Beach 116 St"
H15N,"Manhattan"
H19S,"Manhattan"
H19N,"Jamaica Center"
J12S,"Manhattan"
J12N,"Jamaica Center"
J13S,"Manhattan"
J13N,"Jamaica Center"
J14S,"Manhattan"
J14N,"Jamaica Center"
J15S,"Manhattan"
J15N,"Jamaica Center"
J16S,"Manhattan"
J16N,"Jamaica Center"
J17S,"Manhattan"
J17N,"Jamaica Center"
J19S,"Manhattan"
J19N,"Jamaica Center"
J20S,"Manhattan"
J20N,"Jamaica Center"
J21S,"Manhattan"
J21N,"Jamaica Center"
J22S,"Manhattan"
J22N,"Jamaica Center"
J23S,"Manhattan"
J23N,"Jamaica Center"
J24S,"Manhattan"
J24N,"Jamaica Center"
J27S,"Manhattan"
J27N,"Jamaica Center"
J28S,"Manhattan"
J28N,"Jamaica Center"
J29S,"Manhattan"
J29N,"Jamaica Center"
J30S,"Manhattan"
J30N,"Jamaica Center"
J31S,"Manhattan"
J31N,"Jamaica Center"
L01S,"East Side and Brooklyn"
L01N,"West Side (8 Av)"
L02S,"East Side and Brooklyn"
L02N,"West Side (8 Av)"
L03S,"East Side and Brooklyn"
L03N,"West Side (8 Av)"
L05S,"East Side and Brooklyn"
L05N,"West Side (8 Av)"
L06S,"East Side and Brooklyn"
L06N,"West Side (8 Av)"
L08S,"Rockaway Pkwy - Canarsie"
L08N,"Manhattan"
L10S,"Rockaway Pkwy - Canarsie"
L10N,"Manhattan"
L11S,"Rockaway Pkwy - Canarsie"
L11N,"Manhattan"
L12S,"Rockaway Pkwy - Canarsie"
L12N,"Manhattan"
L13S,"Rockaway Pkwy - Canarsie"
L13N,"Manhattan"
L14S,"Rockaway Pkwy - Canarsie"
L14N,"Manhattan"
L15S,"Rockaway Pkwy - Canarsie"
L15N,"Manhattan"
L16S,"Rockaway Pkwy - Canarsie"
L16N,"Manhattan"
L17S,"Rockaway Pkwy - Canarsie"
L17N,"Manhattan"
L19S,"Rockaway Pkwy - Canarsie"
L19N,"Manhattan"
L20S,"Rockaway Pkwy - Canarsie"
L20N,"Manhattan"
L21S,"Rockaway Pkwy - Canarsie"
L21N,"Manhattan"
L22S,"Rockaway Pkwy - Canarsie"
L22N,"Manhattan"
L24S,"Rockaway Pkwy - Canarsie"
L24N,"Manhattan"
L25S,"Rockaway Pkwy - Canarsie"
L25N,"Manhattan"
L26S,"Rockaway Pkwy - Canarsie"
L26N,"Manhattan"
L27S,"Rockaway Pkwy - Canarsie"
L27N,"Manhattan"
L28S,"Rockaway Pkwy - Canarsie"
L28N,"Manhattan"
L29S,"Rockaway Pkwy - Canarsie"
L29N,"Manhattan"
M01S,"Middle Village - Metropolitan Av"
M01N,"Manhattan"
M04S,"Middle Village - Metropolitan Av"
M04N,"Manhattan"
M05S,"Middle Village - Metropolitan Av"
M05N,"Manhattan"
M06S,"Middle Village - Metropolitan Av"
M06N,"Manhattan"
M08S,"Middle Village - Metropolitan Av"
M08N,"Manhattan"
M09S,"Middle Village - Metropolitan Av"
M09N,"Manhattan"
M10S,"Middle Village - Metropolitan Av"
M10N,"Manhattan"
M11S,"Jamaica Center and Middle Village"
M11N,"Manhattan"
M12S,"Jamaica Center and Middle Village"
M12N,"Manhattan"
M13S,"Jamaica Center and Middle Village"
M13N,"Manhattan"
M14S,"Jamaica Center and Middle Village"
M14N,"Manhattan"
M16S,"Jamaica Center and Middle Village"
M16N,"Manhattan"
M18S,"Brooklyn"
M18N,"Downtown and Uptown"
M19S,"Uptown and Brooklyn"
M19N,"Downtown (Broad St)"
M20S,"Uptown and Brooklyn"
M20N,"Downtown (Broad St)"
M21S,"Uptown and Brooklyn"
M21N,"Downtown (Broad St)"
M22S,"Uptown and Brooklyn"
M22N,"Downtown (Broad St)"
M23S,"Uptown and Brooklyn"
M23N,"Downtown (Broad St)"
N02S,"Coney Island - Stillwell Av"
N02N,"Manhattan"
N03S,"Coney Island - Stillwell Av"
N03N,"Manhattan"
N04S,"Coney Island - Stillwell Av"
N04N,"Manhattan"
N05S,"Coney Island - Stillwell Av"
N05N,"Manhattan"
N06S,"Coney Island - Stillwell Av"
N06N,"Manhattan"
N07S,"Coney Island - Stillwell Av"
N07N,"Manhattan"
N08S,"Coney Island - Stillwell Av"
N08N,"Manhattan"
N09S,"Coney Island - Stillwell Av"
N09N,"Manhattan"
N10S,"Coney Island - Stillwell Av"
N10N,"Manhattan"
N12S,"Downtown and Brooklyn"
N12N,"Uptown and Queens"
Q01S,"Downtown and Brooklyn"
Q01N,"Uptown and Queens"
Q03S,"Downtown and Brooklyn"
Q03N,"Uptown (96 St)"
Q04S,"Downtown and Brooklyn"
Q04N,"Uptown (96 St)"
Q05S,"Downtown and Brooklyn"
Q05N,"Uptown (96 St)"
R01S,"Manhattan"
R01N,"Astoria - Ditmars Blvd"
R03S,"Manhattan"
R03N,"Astoria - Ditmars Blvd"
R04S,"Manhattan"
R04N,"Astoria - Ditmars Blvd"
R05S,"Manhattan"
R05N,"Astoria - Ditmars Blvd"
R06S,"Manhattan"
R06N,"Astoria - Ditmars Blvd"
R08S,"Manhattan"
R08N,"Astoria - Ditmars Blvd"
R09S,"Manhattan"
R09N,"Astoria - Ditmars Blvd"
R11S,"Downtown and Brooklyn"
R11N,"East Side and Queens"
R13S,"Downtown and Brooklyn"
R13N,"East Side and Queens"
R14S,"Downtown and Brooklyn"
R14N,"East Side and Queens"
R15S,"Downtown and Brooklyn"
R15N,"Uptown and Queens"
R16S,"Downtown and Brooklyn"
R16N,"Uptown and Queens"
R17S,"Downtown and Brooklyn"
R17N,"Uptown and Queens"
R18S,"Downtown and Brooklyn"
R18N,"Uptown and Queens"
R19S,"Downtown and Brooklyn"
R19N,"Uptown and Queens"
R20S,"Downtown and Brooklyn"
R20N,"Uptown and Queens"
R21S,"Downtown and Brooklyn"
R21N,"Uptown and Queens"
R22S,"Downtown and Brooklyn"
R22N,"Uptown and Queens"
R23S,"Downtown and Brooklyn"
R23N,"Uptown and Queens"
R24S,"Downtown and Brooklyn"
