stop_id,direction_name
F09S,Manhattan
F11N,Queens
F11S,Downtown and Brooklyn
F12N,Queens
F12S,Downtown and Brooklyn
D14N,Uptown and The Bronx
D14S,Downtown and Brooklyn
G05N,(Terminating trains)
G05S,Manhattan
G06N,Jamaica Center
G06S,Manhattan
G07N,Jamaica Center
G07S,Manhattan
G22N,(Terminating trains)
G22S,Brooklyn
G24N,Court Sq
G24S,Brooklyn
G26N,Queens
G26S,Church Av
G28N,Queens
G28S,Church Av
G29N,Queens
G29S,Church Av
G30N,Queens
G30S,Church Av
G31N,Queens
G31S,Church Av
G32N,Queens
G32S,Church Av
G33N,Queens
G33S,Church Av
G34N,Queens
G34S,Church Av
G35N,Queens
G35S,Church Av
G36N,Queens
G36S,Church Av
101N,(Terminating trains)
101S,Manhattan
103N,242 St
103S,Manhattan
104N,242 St
104S,Manhattan
106N,242 St
106S,Downtown
107N,The Bronx
107S,Downtown
108N,Uptown and The Bronx
108S,Downtown
109N,Uptown and The Bronx
109S,Downtown
110N,Uptown and The Bronx
110S,Downtown
111N,Uptown and The Bronx
111S,Downtown
112N,Uptown and The Bronx
112S,Downtown
113N,Uptown and The Bronx
113S,Downtown
114N,Uptown and The Bronx
114S,Downtown
115N,Uptown and The Bronx
115S,Downtown
116N,Uptown and The Bronx
116S,Downtown
117N,Uptown and The Bronx
117S,Downtown
118N,Uptown and The Bronx
118S,Downtown
119N,Uptown and The Bronx
119S,Downtown
120N,Uptown and The Bronx
120S,Downtown and Brooklyn
121N,Uptown and The Bronx
121S,Downtown
122N,Uptown and The Bronx
122S,Downtown
123N,Uptown and The Bronx
123S,Downtown and Brooklyn
124N,Uptown and The Bronx
124S,Downtown
125N,Uptown and The Bronx
125S,Downtown
126N,Uptown and The Bronx
126S,Downtown
127N,Uptown and The Bronx
127S,Downtown and Brooklyn
128N,Uptown and The Bronx
128S,Downtown and Brooklyn
129N,Uptown and The Bronx
129S,Downtown
130N,Uptown and The Bronx
130S,Downtown
131N,Uptown and The Bronx
131S,Downtown
132N,Uptown and The Bronx
132S,Downtown and Brooklyn
133N,Uptown and The Bronx
133S,Downtown
134N,Uptown and The Bronx
134S,Downtown
135N,Uptown and The Bronx
135S,Downtown
136N,Uptown and The Bronx
136S,Downtown
137N,Uptown and The Bronx
137S,Downtown and Brooklyn
138N,Uptown and The Bronx
138S,Downtown
139N,Uptown and The Bronx
139S,Downtown
142N,Uptown and The Bronx
142S,(Terminating trains)
228N,Uptown and The Bronx
228S,Downtown and Brooklyn
229N,Uptown and The Bronx
229S,Downtown and Brooklyn
230N,Uptown and The Bronx
230S,Brooklyn
231N,Manhattan
231S,Flatbush - New Lots
232N,Manhattan
232S,Flatbush - New Lots
233N,Manhattan
233S,Flatbush - New Lots
234N,Manhattan
234S,Flatbush - Utica - New Lots
235N,Manhattan
235S,Flatbush - New Lots
236N,Manhattan
236S,Flatbush - New Lots
237N,Manhattan
237S,Flatbush - New Lots
238N,Manhattan
238S,Flatbush - New Lots
239N,Manhattan
239S,Flatbush - Utica - New Lots
248N,Manhattan
248S,New Lots
249N,Manhattan
249S,New Lots
250N,Manhattan
250S,New Lots
251N,Manhattan
251S,New Lots
252N,Manhattan
252S,New Lots
253N,Manhattan
253S,New Lots
254N,Manhattan
254S,New Lots
255N,Manhattan
255S,New Lots
256N,Manhattan
256S,New Lots
257N,Manhattan
257S,(Terminating trains)
241N,Manhattan
241S,Flatbush
242N,Manhattan
242S,Flatbush
243N,Manhattan
243S,Flatbush
244N,Manhattan
244S,Flatbush
245N,Manhattan
245S,Flatbush
246N,Manhattan
246S,Flatbush
247N,Manhattan
247S,(Terminating trains)
601N,(Terminating trains)
601S,Manhattan
602N,Pelham Bay Park
602S,Manhattan
603N,Pelham Bay Park
603S,Manhattan
604N,Pelham Bay Park
604S,Manhattan
606N,Pelham Bay Park
606S,Manhattan
607N,Pelham Bay Park
607S,Manhattan
608N,Pelham Bay Park
608S,Manhattan
609N,Pelham Bay Park
609S,Manhattan
610N,Pelham Bay Park
610S,Manhattan
611N,Pelham Bay Park
611S,Manhattan
612N,Pelham Bay Park
612S,Manhattan
613N,Pelham Bay Park
613S,Manhattan
614N,Pelham Bay Park
614S,Manhattan
615N,Pelham Bay Park
615S,Manhattan
616N,Pelham Bay Park
616S,Manhattan
617N,Pelham Bay Park
617S,Manhattan
618N,Pelham Bay Park
618S,Manhattan
619N,Pelham Bay Park
619S,Manhattan
401N,(Terminating trains)
401S,Manhattan
402N,Woodlawn
402S,Manhattan
405N,Woodlawn
405S,Manhattan
406N,Woodlawn
406S,Manhattan
407N,Woodlawn
407S,Manhattan
408N,Woodlawn
408S,Manhattan
409N,Woodlawn
409S,Manhattan
410N,Woodlawn
410S,Manhattan
411N,Woodlawn
411S,Manhattan
412N,Woodlawn
412S,Manhattan
413N,Woodlawn
413S,Manhattan
414N,Woodlawn
414S,Manhattan
415N,Woodlawn
415S,Manhattan
416N,Woodlawn - Eastchester Dyre Av
416S,Manhattan
621N,The Bronx
621S,Downtown and Brooklyn
622N,Uptown and The Bronx
622S,Downtown
623N,Uptown and The Bronx
623S,Downtown
624N,Uptown and The Bronx
624S,Downtown
625N,Uptown and The Bronx
625S,Downtown
626N,Uptown and The Bronx
626S,Downtown and Brooklyn
627N,Uptown and The Bronx
627S,Downtown
628N,Uptown and The Bronx
628S,Downtown
629N,Uptown and The Bronx
629S,Downtown and Brooklyn
630N,Uptown and The Bronx
630S,Downtown
631N,Uptown and The Bronx
631S,Downtown and Brooklyn
632N,Uptown and The Bronx
632S,Downtown
633N,Uptown and The Bronx
633S,Downtown
634N,Uptown and The Bronx
634S,Downtown
635N,Uptown and The Bronx
635S,Downtown and Brooklyn
636N,Uptown and The Bronx
636S,Downtown
637N,Uptown and The Bronx
637S,Downtown
638N,Uptown and The Bronx
638S,Downtown
639N,Uptown and The Bronx
639S,Downtown
640N,Uptown and The Bronx
640S,Downtown and Brooklyn
418N,Uptown and The Bronx
418S,Downtown and Brooklyn
419N,Uptown and The Bronx
419S,Downtown and Brooklyn
420N,Uptown and The Bronx
420S,Brooklyn
423N,Manhattan
423S,Flatbush - Utica
201N,(Terminating trains)
201S,Manhattan
204N,Wakefield - 241 St
204S,Manhattan
205N,Wakefield - 241 St
205S,Manhattan
206N,Wakefield - 241 St
206S,Manhattan
207N,Wakefield - 241 St
207S,Manhattan
208N,Wakefield - 241 St
208S,Manhattan
209N,Wakefield - 241 St
209S,Manhattan
210N,Wakefield - 241 St
210S,Manhattan
211N,Wakefield - 241 St
211S,Manhattan
212N,Wakefield - 241 St
212S,Manhattan
213N,Wakefield - Eastchester
213S,Manhattan
214N,Wakefield - Eastchester
214S,Manhattan
215N,Wakefield - Eastchester
215S,Manhattan
216N,Wakefield - Eastchester
216S,Manhattan
217N,Wakefield - Eastchester
217S,Manhattan
218N,Wakefield - Eastchester
218S,Manhattan
219N,Wakefield - Eastchester
219S,Manhattan
220N,Wakefield - Eastchester
220S,Manhattan
221N,Wakefield - Eastchester
221S,Manhattan
222N,Wakefield - Eastchester
222S,Manhattan
301N,(Terminating trains)
301S,Downtown and Brooklyn
302N,148 St
